'GMZP0.cubic_lag_difference' depends on axioms: [propext, Quot.sound]
'GMZP0.lag_target_coordinate' depends on axioms: [propext]
'GMZP0.double_phase_reroot' depends on axioms: [propext, Quot.sound]
'GMZP0.fourth_difference_cubic' depends on axioms: [propext]
'GMZP0.linear_collision_eight' depends on axioms: [propext]
'GMZP0.norm_cubicPhase' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.card_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicPhase_coe_real' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicDistanceSq_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicDistance_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicDistance_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.norm_response_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.mean_le_root_mean_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.norm_response_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.aligned_response_transfer' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.norm_response_transfer' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.exists_ge_mean' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finite_response_selection' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.original_response_of_finite_capture' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.weighted_response_le_mean' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.captured_response_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.small_scale_selection' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.exists_response_alignment' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.thresholdWeight_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.thresholdWeight_support' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.thresholdWeight_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.original_admissible_data' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.p0_of_weightedCapture' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.root_sum_square_add_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicDistance_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicDistance_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicDistance_triangle' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicDistance_le_of_label_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.exists_nearest_frequency_lift' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicPhase_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicPhase_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.norm_cubicPhase_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.real_cubicPhase_chord_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicPhase_chord_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicDistance_le_circle_scale' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicDistance_le_of_scaled_circle_error' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.integer_cast_frequency' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.zero_branch_division_counterexample' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.circle_root_decomposition' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.circle_root_with_real_error' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.circle_approx_root_decomposition' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.circle_approx_root_fullLabel' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.real_grid_rounding' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubic_scale_grid_rounding' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.grid_index_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.gridIndices_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.majorArc_grid_approximation' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.majorArc_universal_list' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.weighted_mass_le_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.retained_mass_from_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.assigned_weighted_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.assigned_minor_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.major_mass_of_minor_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.endpoint_eq_inputPoint' depends on axioms: [propext, Quot.sound]
'GMZP0.card_inputBox' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.inputEnergy_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finiteResponse_original' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.profileMinorEnergy_of_finite_estimate' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finite_estimates_assigned_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.freezing_energy_budget' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finite_capture_from_model_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finite_capture_from_model_operators' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.inputPoint_injective' depends on axioms: [propext, Quot.sound]
'GMZP0.endpointIndex_label_injective' depends on axioms: [propext, Quot.sound]
'GMZP0.endpointIndex_base_injective' depends on axioms: [propext, Quot.sound]
'GMZP0.endpointIndex_same_horizontal' depends on axioms: [propext, Quot.sound]
'GMZP0.integer_parabola_collision' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.collision_lag_displacement' depends on axioms: [propext]
'GMZP0.kernel_adjoint_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.kernel_comp_adjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.gramKernel_conjugate' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.responseKernel_action' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finiteResponse_adjoint_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.responseKernel_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.responseKernel_gram_same_horizontal' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.responseKernel_horizontal_block' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finiteEnergy_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finitePairing_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finitePairing_norm_sq_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.weighted_original_pairing' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.weighted_original_adjoint_sq_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.weighted_original_adjoint_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.alignedWeightVector_energy_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finiteAdjoint_energy_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.weighted_original_response_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.gram_same_horizontal_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finiteAdjoint_energy_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.weighted_offHorizontal_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.originalScaledWeight_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.originalScaledWeight_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.originalScaledWeight_support' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.originalScaledWeight_response' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.original_window_response_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.offHorizontalEnergy_blocks' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.offBlockNormSum_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.offHorizontalEnergy_le_blocks' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.weighted_first_tt_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.original_window_first_tt' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalPairing_adjoint_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalPairing_zero_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalPairing_zero_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.offBlockNormSum_restrict' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.secondAdjointEnergy_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.offBlockNormSum_sq_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.offBlockNormSum_second_adjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.original_window_second_adjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.endpointIndex_collision_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.nonparallel_collision_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.collision_target_unique' depends on axioms: [propext, Quot.sound]
'GMZP0.horizontalKernel_of_collision' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalKernel_no_collision' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalKernel_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontal_collision_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalKernel_row_energy_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.kernelAdjoint_energy_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.gram_diagonal_interaction' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.gram_interaction_original_weights' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.zero_pairing_nonzero_adjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.kernelAdjoint_energy_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finite_signed_original_weights' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.secondDiagonalEnergy_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.secondAdjointEnergy_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.secondDiagonalEnergy_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.original_window_second_diagonal' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.original_window_finite_signed_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.parabola_shift_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.safe_vertical_shift' depends on axioms: [propext, Quot.sound]
'GMZP0.safe_parabola_target' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.safe_lag_target' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.exists_original_vertical_point' depends on axioms: [propext, Quot.sound]
'GMZP0.safe_original_target_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontal_interval_gap' depends on axioms: [propext, Quot.sound]
'GMZP0.vertical_lag_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.fin_initial_strip_card_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.fin_final_strip_card_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.fin_boundary_strips_card_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.mem_safeRows_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.boundaryBaseSet_card_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.boundary_original_mass_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.safe_boundary_mass_partition' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.safe_original_mass_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontal_partition_cover' depends on axioms: [propext, Quot.sound]
'GMZP0.horizontalChunk_interval' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.mem_horizontalChunk_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalChunk_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.chunkWindow_geometry' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.chunkWindow_mass_partition' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.exists_mean_chunk' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.exists_heavy_chunk' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.windowModulus_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.safeWindowMass_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.window_boundary_budget' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.exists_original_safe_chunk' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.uniform_safe_window' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.safe_chunk_target_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.original_weight_mass_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.positive_from_signed_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.finiteStatisticThreshold_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.uniform_positive_from_signed_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.uniform_positive_safe_statistic' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.circleCharacter_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.circleCharacter_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.circleCharacter_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.circleCharacter_real' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.cubicPhase_integer' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.double_phase_character' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.doublePhaseCoefficient_reroot' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.integer_label_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalGap_ne_zero' depends on axioms: [propext, Quot.sound]
'GMZP0.mem_blockLabels_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.mem_lagLabels_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lag_labels_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lag_domain_reroot' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.double_collision_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.double_collision_labels' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.double_collision_zero_lag_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.double_kernel_original_phase' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.double_kernel_original_weighted_phase' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.oneBasedIndex_label' depends on axioms: [propext, Quot.sound]
'GMZP0.shiftedBlockLabel_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.blockTarget_coordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.blockTarget_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.blockTarget_collision' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.collision_in_blockTargets' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.blockFinLabels_membership' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalKernel_label_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalBlock_action_labels' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.blockCoefficient_character' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.oneBasedIndex_of_label' depends on axioms: [propext, Quot.sound]
'GMZP0.blockLabelEquiv_symm_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalBlock_action_integer_labels' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.label_difference_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagSource_coordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagSource_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
